xs,ys,zs
90,170,0.9248299135552971
100,170,1.0000219324542245
110,170,1.0752136467357325
120,170,1.148120389582397
130,170,1.2165269126219453
140,170,1.278354695128076
150,170,1.3317250988209466
160,170,1.3750164493406687
170,170,1.4069133100021267
180,170,1.4264464506730132
190,170,1.4330222973409428
200,170,1.426440967559457
210,170,1.4069023437750146
220,170,1.3750000000000002
230,170,1.331703166366722
240,170,1.2783272795602953
250,170,1.2164940139406082
260,170,1.148082007787504
270,170,1.0751697818272832
280,170,0.9999725844322193
290,170,0.9247750824197354
300,170,0.8518619426072553
310,170,0.7834484133670518
320,170,0.7216130154254266
330,170,0.6682343870622218
340,170,0.6249342026373261
350,170,0.5930278988358545
0,180,0.6228072559332382
10,180,0.6169911816069815
20,180,0.6228127390467944
30,180,0.6400951218487101
40,180,0.6683132829739467
50,180,0.706609888037492
60,180,0.7538213649795618
70,180,0.8085132586138384
80,180,0.8690238158224399
90,180,0.9335144770835175
100,180,1.0000257401719719
110,180,1.0665366986430065
120,180,1.131026446051825
130,180,1.1915354801733273
140,180,1.2462252414856656
150,180,1.2934339768709573
160,180,1.3317272311428852
170,180,1.3599414322416643
180,180,1.3772192457822834
190,180,1.3830356247259596
200,180,1.377213762668727
210,180,1.3599304660145521
220,180,1.3317107818022167
230,180,1.2934120444167325
240,180,1.246197825917885
250,180,1.1915025814919904
260,180,1.1309880642569319
270,180,1.0664928337345572
280,180,0.9999763921499666
290,180,0.9334596459479559
300,180,0.8689635015733221
310,180,0.8084474612511644
320,180,0.7537500845033316
330,180,0.7065331244477058
340,180,0.6682310362706043
350,180,0.6400073920318117
0,190,0.6835035108564051
10,190,0.678623710658368
20,190,0.6835089939699613
30,190,0.6980110026028274
40,190,0.7216891697803732
50,190,0.7538241065363397
60,190,0.7934394599845134
70,190,0.8393315793071152
80,190,0.8901060880758224
90,190,0.9442202516739544
100,190,1.0000298525071392
110,190,1.055839148722904
120,190,1.1099523984687767
130,190,1.1607253841503848
140,190,1.2066153711510483
150,190,1.2462279830424439
160,190,1.2783595690067928
170,190,1.3020337761578813
180,190,1.3165312155294506
190,190,1.3214113203449074
200,190,1.3165257324158943
210,190,1.302022809930769
220,190,1.2783431196661241
230,190,1.2462060505882193
240,190,1.2065879555832675
250,190,1.160692485469048
260,190,1.1099140166738835
270,190,1.0557952838144546
280,190,0.9999805044851336
